# ============================================================
# 《贞心淫骨》项目专属词汇库
# 提取依据：前 10 章（第1章 ~ 第10章）
# 基调说明：本书风格为「文雅叙事+露骨情色」双轨并存
#   - 世界观说明/心理活动用偏文言叙事
#   - 情色场景用直白露骨用词（肉棒、淫穴、操）
#   - 特殊设定词汇（羞穴、至淫蜜露、元阴）属本书独创世界观术语，保留原词
# ============================================================

# ── 男性器官 ──
阴茎     : 阳具 | 肉棒、大鸡巴
龟头     : 龟头 | 龟棱
阴囊     : 卵袋 | 卵蛋
精液     : 浓精 | 阳精、精血

# ── 女性器官 ──
阴道/腔  : 肉洞 | 淫穴、肉穴
阴户     : 私处 | 肉缝、秘处
阴唇     : 花唇 | 肉唇、阴唇
阴蒂     : 肉芽 | 阴蒂、小肉芽儿
处女膜   : 元红 | 处子之身
子宫     : 花心 | 子宫、宫壁
肛门     : 羞穴 | 菊穴、后庭（注：本书中「羞穴」为世界观核心术语，保留）
乳房     : 乳峰 | 玉峰、椒乳、酥胸
乳头     : 乳头 | 蓓蕾、红樱桃、乳蒂
乳晕     : 乳晕 | —
臀部     : 雪臀 | 香臀、翘臀
大腿     : 玉腿 | 雪腿、大腿
脚       : 玉足 | 小脚、脚丫

# ── 分泌物 ──
淫水     : 淫水 | 淫汁（常规阴道分泌）
至淫蜜露 : 至淫蜜露 | 淫汁蜜露（羞穴特有分泌，琥珀色，馥郁香气）
爱液     : 爱液 | 花蜜、淫汁
元阴     : 元阴 | （女子一生仅献一次的最珍贵之物）
香津     : 香津 | 津液（口涎）
尿液     : 尿液 | —（高潮失禁场景用）

# ── 性行为动作 ──
插入     : 插入 | 挺入、顶入
抽送     : 抽送 | 抽插、挺动
操干     : 操 | 驰骋
摩擦     : 摩挲 | 磨蹭
揉捏     : 揉搓 | 捻摸、捏动
吮吸     : 吸吮 | 吮吸
舔舐     : 舔舐 | 舔弄、扫舔
亲吻     : 接吻 | 索吻、亲吻
咬       : 轻咬 | 啃噬
脱衣     : 褪下 | 解开、滑落
射精     : 射精 | 发射、浇注
高潮     : 高潮 | 泄身、丢了、登顶

# ── 前戏动作序列 ──
接吻     : 唇舌交缠 | 舌尖探入、香津交互
爱抚     : 爱抚 | 抚摸、揉弄
口交     : 口交 | 含住、舔弄
手淫     : 指戏 | 手淫、自渎

# ── 呻吟/叫声 ──
女性呻吟 : 娇吟 | 呻吟、浪叫
喘息     : 娇喘 | 喘息
叫床声   : 浪叫 | 叫床
低吟     : 嘤咛 | 低吟、轻哼

# ── 身体反应 ──
颤抖     : 颤抖 | 微颤、轻颤
痉挛     : 痉挛 | 抽搐
弓身     : 弓身 | 弓起
绷紧     : 绷紧 | 收紧
颤栗     : 颤栗 | 哆嗦、战栗
酥软     : 酥软 | 瘫软
收缩     : 收缩 | 收紧、夹紧
绷直     : 绷直 | 僵硬
失禁     : 失禁 | —（高潮极致描写）

# ── 前戏-高潮过渡状态 ──
情动     : 情动 | 情热
湿润     : 湿润 | 湿透、水光潋滟
肿胀     : 肿胀 | 充血、挺立
勃起     : 勃起 | 硬挺

# ── 感官细节短语 ──
分泌1    : 黏腻的汁液顺着大腿内侧蜿蜒淌下
分泌2    : 淫水如丝淌下，在烛光下闪着水光
分泌3    : 琥珀色的淫汁蜜露从结合处汩汩涌出
触感1    : 嫩肉紧紧包裹住闯入的异物，热得似要熔化
触感2    : 羞肉滚烫如熔，紧窄得似一张小嘴含住
触感3    : 湿润、油滑、滚烫在紧致的贴合之中交织
声音1    : 滋滋水声随着抽送节奏不住响起
声音2    : 噗嗤噗嗤的抽插声在寂静中格外刺耳
声音3    : 啵地拔出来时带出一大股淫汁蜜露
反应1    : 腿根轻颤，腰肢无助地弓起
反应2    : 雪白的脚趾因快感而紧紧蜷缩
反应3    : 小腹如筛子般抖动，五官在高潮中扭曲
气味1    : 甜腻的骚香混着檀香袅袅
气味2    : 馥郁的香气带着一丝麝香的幽芬
气味3    : 如芝如兰的淡淡馨香中透出淫靡的甜腻
视觉1    : 萋萋春草乌黑柔卷，沾着晶莹的淫水
视觉2    : 粉腻嫩肉若隐若现，湿痕隐隐洇开
视觉3    : 处女血混着晶莹的淫水蜿蜒淌下
